banco,meses,media,desv_est,minimo,maximo
Financiero,192,2.935,2.82,-1.398,7.54
MiBanco,192,2.905,3.466,-2.753,9.161
Comercio,192,1.711,2.265,-1.782,5.379
BanBif,192,1.704,1.69,-0.638,4.28
Scotiabank,192,1.701,2.353,-1.261,5.679
Falabella,192,1.449,3.099,-1.999,8.082
BCP,192,1.436,2.087,-0.91,4.544
GNB,192,1.332,2.259,-1.769,5.484
Continental,192,1.242,2.538,-2.193,4.933
Interbank,192,0.723,2.293,-2.193,3.71
Santander,192,0.2,1.85,-2.001,5.215
ICBC,142,0.031,0.815,-1.116,2.788
Ripley,192,-0.127,4.053,-5.335,11.651
Cencosud,80,-0.784,3.058,-3.641,6.425
Azteca,192,-3.442,11.903,-26.507,22.697
